abbrev,Ortsteil,Adlershof,Altglienicke,Alt-Hohenschönhausen,Alt-Treptow,Baumschulenweg,Biesdorf,Blankenburg,Blankenfelde,Bohnsdorf,Borsigwalde,Britz,Buch,Buckow,Charlottenburg,Charlottenburg-Nord,Dahlem,Falkenberg,Falkenhagener Feld,Fennpfuhl,Französisch Buchholz,Friedenau,Friedrichsfelde,Friedrichshagen,Friedrichshain,Frohnau,Gatow,Gesundbrunnen,Gropiusstadt,Grünau,Grunewald,Hakenfelde,Halensee,Hansaviertel,Haselhorst,Heiligensee,Heinersdorf,Hellersdorf,Hermsdorf,Johannisthal,Karlshorst,Karow,Kaulsdorf,Kladow,Konradshöhe,Köpenick,Kreuzberg,Lankwitz,Lichtenberg,Lichtenrade,Lichterfelde,Lübars,Mahlsdorf,Malchow,Mariendorf,Marienfelde,Märkisches Viertel,Marzahn,Mitte,Moabit,Müggelheim,Neu-Hohenschönhausen,Neukölln,Niederschöneweide,Niederschönhausen,Nikolassee,Oberschöneweide,Pankow,Plänterwald,Prenzlauer Berg,Rahnsdorf,Reinickendorf,Rosenthal,Rudow,Rummelsburg,Schmargendorf,Schmöckwitz,Schöneberg,Siemensstadt,Spandau,Staaken,Stadtrandsiedlung Malchow,Steglitz,Tegel,Tempelhof,Tiergarten,Waidmannslust,Wannsee,Wartenberg,Wedding,Weißensee,Westend,Wilhelmsruh,Wilhelmstadt,Wilmersdorf,Wittenau,Zehlendorf
Adlers,Adlershof,NA,10,1,1,5,1,0,0,1,0,2,0,2,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,13,7,0,0,0,0,0,0,0,2,0,0,0,5,2,0,1,6,5,1,0,2,4,1,3,0,1,0,1,1,2,3,1,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,2,4,0,0
Altgli,Altglienicke,8,NA,0,3,5,0,0,0,5,0,6,0,4,0,0,0,0,0,0,0,0,2,2,2,0,0,1,1,3,1,0,0,0,0,0,0,3,2,3,0,1,1,0,0,4,2,1,1,0,1,0,1,0,1,1,0,1,7,0,0,0,10,2,0,3,3,1,5,2,0,1,0,8,0,1,0,4,1,0,0,0,3,0,5,0,0,0,0,2,2,0,0,1,0,0,2
Alt-Ho,Alt-Hohenschönhausen,1,0,NA,2,0,3,0,3,0,0,0,0,0,2,0,1,0,0,9,2,0,8,0,18,0,0,4,1,0,0,1,0,0,0,0,2,7,0,1,0,3,1,0,0,3,2,1,8,2,0,0,1,0,0,0,1,19,6,3,0,27,6,0,3,0,0,1,2,17,0,2,0,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,22,0,2,2,1,0,1
Alt-Tr,Alt-Treptow,9,1,1,NA,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,0,0,0,1,0,1,0,0,1,0,2,1,3,0,0,8,0,0,0,0,0,3,4,0,0,0,1,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0
Baumsc,Baumschulenweg,2,2,1,7,NA,3,0,0,0,0,3,0,2,1,1,1,0,0,0,1,1,0,0,6,0,0,1,1,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,7,1,0,2,10,1,3,0,0,0,6,4,0,0,2,1,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0
Biesdo,Biesdorf,1,1,3,0,3,NA,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,9,0,15,0,0,1,2,1,0,0,0,0,0,0,0,18,0,1,8,0,5,0,0,10,11,2,8,5,1,0,3,0,0,3,0,37,13,3,0,2,6,0,0,0,4,1,1,5,0,4,0,3,6,1,0,2,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,3,0,0,3
Blank1,Blankenburg,0,0,1,0,1,0,NA,0,0,0,0,2,0,0,0,0,0,0,1,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,14,3,2,0,0,0,0,0,0,0,1,0,1,3,1,0,0,2,0,3,0,0,10,0,1,0,1,1,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,3,6,0,0,0,2,0,0
Blank2,Blankenfelde,0,0,0,0,20,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0
Bohnsd,Bohnsdorf,6,23,0,4,3,6,0,0,NA,0,3,1,1,3,0,1,0,0,0,0,1,2,5,4,0,0,0,1,2,0,0,0,0,0,0,0,2,3,6,0,0,0,0,0,9,8,2,0,0,5,0,1,0,0,1,0,4,7,0,0,0,6,9,0,0,5,0,1,4,2,0,0,9,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0
Borsig,Borsigwalde,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,6,0,1,2,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,7,0,1,2,0,0,5,0,0,0,1,2,7,1
