abbrev,Ortsteil,Adlershof,Altglienicke,Alt-Hohenschönhausen,Alt-Treptow,Baumschulenweg,Biesdorf,Blankenburg,Blankenfelde,Bohnsdorf,Borsigwalde,Britz,Buch,Buckow,Charlottenburg,Charlottenburg-Nord,Dahlem,Falkenberg,Falkenhagener Feld,Fennpfuhl,Französisch Buchholz,Friedenau,Friedrichsfelde,Friedrichshagen,Friedrichshain,Frohnau,Gatow,Gesundbrunnen,Gropiusstadt,Grünau,Grunewald,Hakenfelde,Halensee,Hansaviertel,Haselhorst,Heiligensee,Heinersdorf,Hellersdorf,Hermsdorf,Johannisthal,Karlshorst,Karow,Kaulsdorf,Kladow,Konradshöhe,Köpenick,Kreuzberg,Lankwitz,Lichtenberg,Lichtenrade,Lichterfelde,Lübars,Mahlsdorf,Malchow,Mariendorf,Marienfelde,Märkisches Viertel,Marzahn,Mitte,Moabit,Müggelheim,Neu-Hohenschönhausen,Neukölln,Niederschöneweide,Niederschönhausen,Nikolassee,Oberschöneweide,Pankow,Plänterwald,Prenzlauer Berg,Rahnsdorf,Reinickendorf,Rosenthal,Rudow,Rummelsburg,Schmargendorf,Schmöckwitz,Schöneberg,Siemensstadt,Spandau,Staaken,Stadtrandsiedlung Malchow,Steglitz,Tegel,Tempelhof,Tiergarten,Waidmannslust,Wannsee,Wartenberg,Wedding,Weißensee,Westend,Wilhelmsruh,Wilhelmstadt,Wilmersdorf,Wittenau,Zehlendorf,sum_imm,sum_emm,sum_intern
Adlers,Adlershof,NA,8,1,9,2,1,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,4,3,4,0,0,1,2,1,0,1,1,0,0,0,0,0,1,6,3,0,0,0,0,16,5,4,0,0,1,0,1,0,1,0,0,0,3,4,1,0,4,6,0,3,2,0,1,4,1,0,0,1,1,0,1,0,0,1,0,0,2,0,6,0,0,0,0,1,2,1,0,1,0,1,0,115,132,78
Altgli,Altglienicke,10,NA,0,1,2,1,0,0,23,1,3,0,0,0,0,0,0,0,1,0,1,2,0,4,2,0,0,2,3,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,2,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,2,2,1,1,1,0,0,4,2,0,1,2,1,2,1,0,2,0,1,0,0,0,0,0,1,1,0,1,2,0,0,129,103,120
Alt-Ho,Alt-Hohenschönhausen,1,0,NA,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,12,3,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,1,7,0,0,5,1,5,1,0,4,2,2,8,0,2,0,3,0,0,0,0,15,5,0,0,25,4,0,6,0,1,1,0,9,1,5,1,0,1,0,1,2,1,4,0,0,3,0,1,0,0,0,2,2,19,0,2,2,4,2,1,213,194,298
Alt-Tr,Alt-Treptow,1,3,2,NA,7,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,0,0,3,1,2,0,1,20,0,1,0,3,0,5,3,0,0,0,0,0,1,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,3,0,2,83,89,66
Baumsc,Baumschulenweg,5,5,0,2,NA,3,1,20,3,0,2,0,3,1,1,0,0,0,1,0,1,1,2,2,2,0,0,2,1,0,0,0,1,0,1,0,3,2,15,2,0,1,0,0,3,0,3,0,1,2,0,1,0,1,1,1,5,3,1,1,0,2,4,0,0,1,0,6,2,0,1,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,2,0,1,93,134,124
Biesdo,Biesdorf,1,0,3,0,3,NA,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,2,1,4,0,1,0,0,0,0,0,0,1,0,0,0,16,0,0,2,0,8,0,0,8,3,1,4,0,0,0,9,0,0,0,0,39,5,4,1,1,1,1,4,0,0,4,1,3,0,0,0,5,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,217,158,140
Blank1,Blankenburg,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,2,85,34,65
Blank2,Blankenfelde,0,0,3,0,0,0,0,NA,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,56,25,38
Bohnsd,Bohnsdorf,1,5,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,3,0,3,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,2,1,1,0,0,1,0,0,0,2,1,0,2,0,0,1,0,3,0,6,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,158,56,102
Borsig,Borsigwalde,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,19,1,0,1,1,0,1,0,3,0,1,0,8,1,63,62,31
Britz,Britz,2,6,0,2,3,1,0,0,3,0,NA,0,39,5,2,0,0,1,0,0,0,0,1,2,0,0,0,25,1,1,3,2,0,0,1,0,3,0,2,0,0,0,0,1,4,4,5,0,12,12,0,1,0,29,6,1,1,2,1,1,1,27,1,2,2,0,2,0,3,1,4,0,24,0,4,1,2,1,3,1,0,10,2,6,0,1,1,0,1,0,3,0,2,3,1,4,364,298,311
Buch,Buch,0,0,0,0,0,1,2,0,1,0,0,NA,0,3,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,2,0,5,0,0,0,0,0,0,1,0,1,1,3,0,0,1,0,0,3,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,69,61,80
Buckow,Buckow,2,4,0,0,2,0,0,0,1,0,37,0,NA,4,1,0,0,0,0,0,2,1,0,3,0,0,0,27,0,0,0,0,0,0,0,0,4,3,4,0,0,1,1,0,4,0,3,0,25,13,0,1,0,19,14,2,0,1,1,0,1,11,3,1,1,0,0,0,1,0,1,1,18,0,0,0,3,0,0,1,0,7,1,8,0,0,1,0,0,0,0,0,0,5,0,7,329,251,217
Charl1,Charlottenburg,5,0,2,2,1,0,0,0,3,0,6,0,5,NA,22,18,0,8,1,7,28,2,0,14,7,8,10,3,0,19,14,49,6,6,5,0,9,10,0,2,0,0,9,1,5,32,12,2,17,25,1,3,0,18,2,5,2,40,59,0,5,14,0,4,7,6,11,1,31,0,16,1,6,6,32,0,77,13,13,16,0,41,14,17,11,5,21,0,11,3,134,14,32,216,3,69,996,1355,1119
Charl2,Charlottenburg-Nord,0,0,0,0,1,0,0,0,0,0,0,1,0,3,NA,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,15,0,1,4,1,0,0,1,1,0,0,2,1,1,0,0,2,0,3,3,1,0,0,1,1,1,0,2,2,0,0,2,0,0,1,1,3,0,0,0,1,2,1,0,3,0,2,11,1,5,0,6,8,0,0,0,0,0,2,1,5,0,5,3,3,2,160,126,120
